date,last
2022-12-30,129.93
2022-12-29,129.61
2022-12-28,126.04
2022-12-27,130.03
2022-12-23,131.86
2022-12-22,132.23
2022-12-21,135.45
2022-12-20,132.3
2022-12-19,132.37
2022-12-16,134.51
2022-12-15,136.5
2022-12-14,143.21
2022-12-13,145.47
2022-12-12,144.49
2022-12-09,142.16
2022-12-08,142.65
2022-12-07,140.94
2022-12-06,142.91
2022-12-05,146.63
2022-12-02,147.81
2022-12-01,148.31
2022-11-30,148.03
2022-11-29,141.17
2022-11-28,144.22
2022-11-25,148.11
2022-11-23,151.07
2022-11-22,150.18
2022-11-21,148.01
2022-11-18,151.29
2022-11-17,150.72
2022-11-16,148.79
2022-11-15,150.04
2022-11-14,148.28
2022-11-11,149.7
2022-11-10,146.87
2022-11-09,134.87
2022-11-08,139.5
2022-11-07,138.92
2022-11-04,138.38
2022-11-03,138.88
2022-11-02,145.03
2022-11-01,150.65
2022-10-31,153.34
2022-10-28,155.74
2022-10-27,144.8
2022-10-26,149.35
2022-10-25,152.34
2022-10-24,149.45
2022-10-21,147.27
2022-10-20,143.39
2022-10-19,143.86
2022-10-18,143.75
2022-10-17,142.41
2022-10-14,138.38
2022-10-13,142.99
2022-10-12,138.34
2022-10-11,138.98
2022-10-10,140.42
2022-10-07,140.09
2022-10-06,145.43
2022-10-05,146.4
2022-10-04,146.1
2022-10-03,142.45
2022-09-30,138.2
2022-09-29,142.48
2022-09-28,149.84
2022-09-27,151.76
2022-09-26,150.77
2022-09-23,150.43
2022-09-22,152.74
2022-09-21,153.72
2022-09-20,156.9
2022-09-19,154.48
2022-09-16,150.7
2022-09-15,152.37
2022-09-14,155.31
2022-09-13,154.97
2022-09-12,163.43
2022-09-09,157.37
2022-09-08,154.45
2022-09-07,155.96
2022-09-06,154.53
2022-09-02,155.81
2022-09-01,157.96
2022-08-31,157.22
2022-08-30,158.91
2022-08-29,161.38
2022-08-26,163.62
2022-08-25,170.03
2022-08-24,167.53
2022-08-23,167.23
2022-08-22,167.57
2022-08-19,171.52
2022-08-18,174.15
2022-08-17,174.55
2022-08-16,173.03
2022-08-15,173.19
2022-08-12,172.1
2022-08-11,168.54
2022-08-10,169.24
2022-08-09,164.92
2022-08-08,164.87
2022-08-05,165.35
2022-08-04,165.81
2022-08-03,166.13
2022-08-02,160.01
2022-08-01,161.51
2022-07-29,162.51
2022-07-28,157.35
2022-07-27,156.79
2022-07-26,151.6
2022-07-25,152.95
2022-07-22,154.09
2022-07-21,155.35
2022-07-20,153.04
2022-07-19,151.0
2022-07-18,147.07
2022-07-15,150.17
2022-07-14,148.47
2022-07-13,145.49
2022-07-12,145.86
2022-07-11,144.87
2022-07-08,147.04
2022-07-07,146.35
2022-07-06,142.92
2022-07-05,141.56
2022-07-01,138.93
2022-06-30,136.72
2022-06-29,139.23
2022-06-28,137.44
2022-06-27,141.66
2022-06-24,141.66
2022-06-23,138.27
2022-06-22,135.35
2022-06-21,135.87
2022-06-17,131.56
2022-06-16,130.06
2022-06-15,135.43
2022-06-14,132.76
2022-06-13,131.88
2022-06-10,137.13
